	index	Rk	Player	Pos	Age	Tm	FG%	3P%	TRB	AST	STL	BLK	TOV	PTS	All Star %	Conference
202	222	223	LeBron James\jamesle01	SF	37	LAL	0.504	0.358	5.9	6.9	1.8	0.9	3.6	26.1	0.95	West
399	435	436	Karl-Anthony Towns\townska01	C	26	MIN	0.508	0.423	9.0	3.3	1.1	1.1	3.5	24.3	0.89	West
98	108	109	Anthony Davis\davisan02	C	28	LAL	0.52	0.182	10.2	3.0	1.2	2.1	2.2	23.8	0.88	West
212	233	234	Nikola Jokić\jokicni01	C	26	DEN	0.588	0.379	13.6	7.5	1.3	0.7	3.4	26.6	0.86	West
106	118	119	Luka Dončić\doncilu01	PG	22	DAL	0.447	0.326	8.0	8.5	1.0	0.5	4.6	25.6	0.85	West
97	107	108	Stephen Curry\curryst01	PG	33	GSW	0.431	0.399	5.5	6.1	1.6	0.5	3.3	26.9	0.79	West
137	155	156	Paul George\georgpa01	SF	31	LAC	0.422	0.318	7.3	5.4	1.9	0.4	4.3	25.0	0.78	West
292	317	318	Ja Morant\moranja01	PG	22	MEM	0.476	0.356	5.6	6.8	1.6	0.3	3.2	24.1	0.69	West
148	166	167	Draymond Green\greendr01	PF	31	GSW	0.556	0.308	8.0	7.3	1.4	1.0	3.1	8.3	0.68	West
421	458	459	Russell Westbrook\westbru01	PG	33	LAL	0.451	0.322	7.8	8.4	1.2	0.2	4.6	19.6	0.67	West
129	145	146	De'Aaron Fox\foxde01	PG	24	SAC	0.455	0.263	3.7	5.0	1.4	0.4	2.7	21.3	0.62	West
327	354	355	Chris Paul\paulch01	PG	36	PHO	0.481	0.329	4.0	10.1	2.0	0.3	2.4	14.5	0.61	West
18	21	22	LaMelo Ball\ballla01	PG	20	CHO	0.418	0.391	7.7	8.3	1.9	0.4	3.3	20.0	0.57	West
288	313	314	Donovan Mitchell\mitchdo01	SG	25	UTA	0.461	0.35	3.7	5.0	1.7	0.2	3.0	24.8	0.56	West
197	216	217	Brandon Ingram\ingrabr01	SF	24	NOP	0.45	0.36	6.3	4.9	0.6	0.4	2.9	23.4	0.55	West
48	51	52	Devin Booker\bookede01	SG	25	PHO	0.458	0.403	4.9	4.5	0.9	0.2	2.7	23.2	0.54	West
142	160	161	Rudy Gobert\goberru01	C	29	UTA	0.738	0.0	14.7	1.0	0.8	2.1	1.8	15.3	0.5	West
298	323	324	Dejounte Murray\murrade01	PG	25	SAS	0.441	0.339	8.3	8.4	1.9	0.4	2.4	17.7	0.49	West
117	130	131	Anthony Edwards\edwaran01	SG	20	MIN	0.434	0.36	5.8	3.6	1.6	0.7	3.3	22.1	0.47	West
140	158	159	Shai Gilgeous-Alexander\gilgesh01	PG	23	OKC	0.409	0.305	4.6	4.9	0.9	0.7	2.4	21.7	0.47	West
243	267	268	Damian Lillard\lillada01	PG	31	POR	0.384	0.305	4.2	7.7	0.6	0.4	2.8	22.0	0.47	West
403	439	440	Jonas Valančiūnas\valanjo01	C	29	NOP	0.522	0.465	12.1	2.4	0.6	0.9	2.2	18.7	0.41	West
270	294	295	CJ McCollum\mccolcj01	SG	30	POR	0.424	0.393	4.1	4.5	1.1	0.7	1.9	20.6	0.39	West
435	474	475	Christian Wood\woodch01	C	26	HOU	0.458	0.344	11.1	2.3	0.6	1.0	1.9	16.5	0.32	West
144	162	163	Eric Gordon\gordoer01	SG	33	HOU	0.477	0.434	1.8	3.1	0.6	0.5	2.6	14.7	0.23	West
16	18	19	Deandre Ayton\aytonde01	C	23	PHO	0.617	0.167	11.1	1.6	0.8	0.7	1.9	16.9	0.22	West
171	189	190	Gordon Hayward\haywago01	SF	31	CHO	0.47	0.403	4.9	3.9	0.8	0.6	1.9	18.4	0.22	West
55	59	60	Miles Bridges\bridgmi02	PF	23	CHO	0.47	0.328	7.3	3.6	1.1	0.9	1.9	19.8	0.21	West
335	364	365	Kevin Porter Jr.\porteke02	PG	21	HOU	0.358	0.309	4.4	5.8	1.3	0.3	4.0	12.8	0.19	West
182	200	201	Richaun Holmes\holmeri01	C	28	SAC	0.707	0.5	9.3	1.4	0.3	1.0	1.4	14.0	0.17	West
23	26	27	Harrison Barnes\barneha02	PF	29	SAC	0.459	0.381	6.6	2.4	0.9	0.1	1.9	17.5	0.13	West
36	39	40	Patrick Beverley\beverpa01	PG	33	MIN	0.458	0.342	4.1	4.7	0.9	0.9	1.2	8.7	0.13	West
