Rk,Player,Pos,Age,Tm,FG%,3P%,TRB,AST,STL,BLK,TOV,PTS
1,Precious Achiuwa\achiupr01,C,22,TOR,0.386,0.269,8.2,1.6,0.5,0.6,1.1,8.0
2,Steven Adams\adamsst01,C,28,MEM,0.535,,8.8,2.6,0.9,0.6,1.8,7.0
3,Bam Adebayo\adebaba01,C,24,MIA,0.519,0.000,10.2,3.2,1.1,0.3,2.9,18.7
4,Santi Aldama\aldamsa01,PF,21,MEM,0.364,0.111,2.6,0.8,0.1,0.2,0.3,3.6
5,LaMarcus Aldridge\aldrila01,C,36,BRK,0.573,0.367,5.7,0.9,0.4,1.2,0.8,14.0
6,Nickeil Alexander-Walker\alexani01,SG,23,NOP,0.366,0.310,3.9,2.6,1.0,0.4,1.5,13.5
7,Grayson Allen\allengr01,SG,26,MIL,0.435,0.407,3.6,1.3,0.7,0.3,0.7,12.7
8,Jarrett Allen\allenja01,C,23,CLE,0.703,0.167,11.0,2.0,0.9,1.4,2.0,16.9
9,Jose Alvarado\alvarjo01,PG,23,NOP,0.385,0.400,0.6,1.1,0.5,0.0,0.1,1.8
10,Kyle Anderson\anderky01,PF,28,MEM,0.443,0.357,5.4,2.6,1.1,0.6,1.0,8.4
11,Giannis Antetokounmpo\antetgi01,PF,27,MIL,0.529,0.280,11.6,5.8,1.1,1.6,3.3,27.0
12,Thanasis Antetokounmpo\antetth01,SF,29,MIL,0.478,0.000,3.1,0.8,0.5,0.2,0.6,3.5
13,Carmelo Anthony\anthoca01,PF,37,LAL,0.430,0.413,4.1,0.9,0.7,0.6,0.8,13.4
14,Cole Anthony\anthoco01,PG,21,ORL,0.417,0.366,6.1,5.6,0.8,0.2,3.0,19.9
15,OG Anunoby\anunoog01,SF,24,TOR,0.430,0.366,5.4,2.7,1.5,0.6,1.7,20.1
16,D.J. Augustin\augusdj01,PG,34,HOU,0.437,0.450,1.0,2.5,0.2,0.0,1.3,5.0
17,Deni Avdija\avdijde01,SF,21,WAS,0.435,0.308,4.8,1.3,0.7,0.7,0.7,6.6
18,Joel Ayayi\ayayijo01,SG,21,WAS,,,0.4,0.6,0.0,0.0,0.0,0.0
19,Deandre Ayton\aytonde01,C,23,PHO,0.617,0.167,11.1,1.6,0.8,0.7,1.9,16.9
20,Udoka Azubuike\azubuud01,C,22,UTA,1.000,,1.0,0.0,0.0,0.0,0.3,0.5
21,Marvin Bagley III\baglema01,PF,22,SAC,0.477,0.286,6.7,0.6,0.2,0.3,0.5,8.1
22,LaMelo Ball\ballla01,PG,20,CHO,0.418,0.391,7.7,8.3,1.9,0.4,3.3,20.0
23,Lonzo Ball\balllo01,PG,24,CHI,0.413,0.421,5.5,4.9,1.7,1.0,2.5,12.8
24,Mo Bamba\bambamo01,C,23,ORL,0.457,0.324,8.6,1.7,0.8,2.2,1.4,10.3
25,Desmond Bane\banede01,SF,23,MEM,0.465,0.407,4.4,2.3,0.9,0.4,1.4,16.2
26,Dalano Banton\bantoda01,SF,22,TOR,0.458,0.300,2.3,1.8,0.4,0.2,1.0,4.1
27,Harrison Barnes\barneha02,PF,29,SAC,0.459,0.381,6.6,2.4,0.9,0.1,1.9,17.5
28,Scottie Barnes\barnesc01,PF,20,TOR,0.488,0.368,8.3,3.3,1.1,1.0,1.9,15.4
29,RJ Barrett\barrerj01,SF,21,NYK,0.402,0.353,5.6,2.1,0.4,0.3,1.7,15.1
30,Will Barton\bartowi01,SG,31,DEN,0.443,0.382,5.0,4.2,0.9,0.4,1.8,16.0
31,Charles Bassey\bassech01,PF,21,PHI,0.667,0.000,3.3,0.2,0.2,1.0,0.3,3.8
32,Keita Bates-Diop\bateske01,SF,26,SAS,0.457,0.200,3.5,0.5,0.5,0.3,0.8,3.8
33,Nicolas Batum\batumni01,PF,33,LAC,0.515,0.432,5.2,1.5,1.1,0.8,0.8,9.1
34,Kent Bazemore\bazemke01,SF,32,LAL,0.322,0.311,1.9,0.8,0.9,0.3,0.4,4.0
