	Player	Age	Tm	FG%	TRB	AST	STL	BLK	TOV	PTS	Year	All Star
0	LaMarcus Aldridge	24	POR	0.495	8.0	2.1	0.9	0.6	1.3	17.9	2010	0
1	Ray Allen*	34	BOS	0.477	3.2	2.6	0.8	0.3	1.6	16.3	2010	0
2	Carmelo Anthony	25	DEN	0.458	6.6	3.2	1.3	0.4	3.0	28.2	2010	1
3	Gilbert Arenas	28	WAS	0.411	4.2	7.2	1.3	0.3	3.7	22.6	2010	0
4	Trevor Ariza	24	HOU	0.394	5.6	3.8	1.8	0.6	2.2	14.9	2010	0
5	Kelenna Azubuike	26	GSW	0.545	4.6	1.1	0.6	1.0	0.8	13.9	2010	0
6	Andrea Bargnani	24	TOR	0.47	6.2	1.2	0.3	1.4	1.5	17.2	2010	0
7	Earl Barron	28	NYK	0.441	11.0	1.1	0.6	0.6	1.6	11.7	2010	0
8	Nicolas Batum	21	POR	0.519	3.8	1.2	0.6	0.7	0.7	10.1	2010	0
9	Michael Beasley	21	MIA	0.45	6.4	1.3	1.0	0.6	1.7	14.8	2010	0
10	Raja Bell	33	TOT	0.459	3.8	2.2	0.7	0.3	0.8	11.8	2010	0
11	Raja Bell	33	CHA	0.436	4.2	2.0	0.8	0.4	1.0	12.0	2010	0
12	Raja Bell	33	GSW	0.667	2.0	3.0	0.0	0.0	0.0	11.0	2010	0
13	Chauncey Billups	33	DEN	0.418	3.1	5.6	1.1	0.1	2.4	19.5	2010	1
14	Andray Blatche	23	WAS	0.478	6.3	2.1	1.0	0.9	2.2	14.1	2010	0
15	Andrew Bogut	25	MIL	0.52	10.2	1.8	0.6	2.5	1.9	15.9	2010	0
16	Carlos Boozer	28	UTA	0.562	11.2	3.2	1.1	0.5	2.7	19.5	2010	0
17	Chris Bosh*	25	TOR	0.518	10.8	2.4	0.6	1.0	2.4	24.0	2010	1
18	Elton Brand	30	PHI	0.48	6.1	1.4	1.1	1.1	1.7	13.1	2010	0
19	Corey Brewer	23	MIN	0.431	3.4	2.4	1.4	0.4	2.0	13.0	2010	0
20	Aaron Brooks	25	HOU	0.432	2.6	5.3	0.8	0.2	2.8	19.6	2010	0
21	Kobe Bryant*	31	LAL	0.456	5.4	5.0	1.5	0.3	3.2	27.0	2010	1
22	Caron Butler	29	TOT	0.428	6.2	2.1	1.6	0.3	2.2	16.3	2010	0
23	Caron Butler	29	WAS	0.422	6.7	2.3	1.4	0.3	2.4	16.9	2010	0
24	Caron Butler	29	DAL	0.44	5.4	1.8	1.8	0.3	1.7	15.2	2010	0
25	Rasual Butler	30	LAC	0.409	2.9	1.4	0.4	0.8	1.0	11.9	2010	0
26	Andrew Bynum	22	LAL	0.57	8.3	1.0	0.5	1.4	1.8	15.0	2010	0
27	Will Bynum	27	DET	0.444	2.3	4.5	0.9	0.1	1.8	10.0	2010	0
28	José Calderón	28	TOR	0.482	2.1	5.9	0.7	0.1	1.5	10.3	2010	0
29	Vince Carter	33	ORL	0.428	3.9	3.1	0.7	0.2	1.4	16.6	2010	0
30	Omri Casspi	21	SAC	0.446	4.5	1.2	0.7	0.2	1.3	10.3	2010	0
31	Wilson Chandler	22	NYK	0.479	5.4	2.1	0.7	0.8	1.7	15.3	2010	0
32	Darren Collison	22	NOH	0.477	2.5	5.7	1.0	0.1	2.7	12.4	2010	0
33	Mike Conley	22	MEM	0.445	2.4	5.3	1.4	0.2	2.1	12.0	2010	0
34	Jamal Crawford	29	ATL	0.449	2.5	3.0	0.8	0.2	1.7	18.0	2010	0
35	Stephen Curry	21	GSW	0.462	4.5	5.9	1.9	0.2	3.0	17.5	2010	0
36	Baron Davis	30	LAC	0.406	3.5	8.0	1.7	0.6	2.8	15.3	2010	0
37	Carlos Delfino	27	MIL	0.408	5.3	2.7	1.1	0.3	1.6	11.0	2010	0
38	Luol Deng	24	CHI	0.466	7.3	2.0	0.9	0.9	1.9	17.6	2010	0
39	Boris Diaw	27	CHA	0.483	5.2	4.0	0.7	0.7	2.2	11.3	2010	0
40	Tim Duncan*	33	SAS	0.518	10.1	3.2	0.6	1.5	1.8	17.9	2010	1
41	Kevin Durant	21	OKC	0.476	7.6	2.8	1.4	1.0	3.3	30.1	2010	1
42	Monta Ellis	24	GSW	0.449	4.0	5.3	2.2	0.4	3.8	25.5	2010	0
43	Tyreke Evans	20	SAC	0.458	5.3	5.8	1.5	0.4	3.0	20.1	2010	0
44	Raymond Felton	25	CHA	0.459	3.6	5.6	1.5	0.3	2.1	12.1	2010	0
45	Jonny Flynn	20	MIN	0.417	2.4	4.4	1.0	0.0	2.9	13.5	2010	0
46	T.J. Ford	26	IND	0.445	3.2	3.8	0.9	0.2	1.9	10.3	2010	0
47	Randy Foye	26	WAS	0.414	1.9	3.3	0.5	0.1	1.3	10.1	2010	0
48	Channing Frye	26	PHO	0.451	5.3	1.4	0.8	0.9	0.9	11.2	2010	0
49	Danilo Gallinari	21	NYK	0.423	4.9	1.7	0.9	0.7	1.4	15.1	2010	0
50	Kevin Garnett*	33	BOS	0.521	7.3	2.7	1.0	0.8	1.5	14.3	2010	1
51	Marc Gasol	25	MEM	0.581	9.3	2.4	1.0	1.6	2.0	14.6	2010	0
52	Pau Gasol	29	LAL	0.536	11.3	3.4	0.6	1.7	2.2	18.3	2010	1
53	Rudy Gay	23	MEM	0.466	5.9	1.9	1.5	0.8	2.1	19.6	2010	0
54	Manu Ginóbili	32	SAS	0.441	3.8	4.9	1.4	0.3	2.1	16.5	2010	0
55	Ryan Gomes	27	MIN	0.447	4.6	1.6	0.8	0.2	1.3	10.9	2010	0
56	Drew Gooden	28	TOT	0.478	7.7	0.7	0.6	0.8	1.5	10.9	2010	0
57	Drew Gooden	28	LAC	0.492	9.4	0.9	0.6	0.3	2.2	14.8	2010	0
58	Ben Gordon	26	DET	0.416	1.9	2.7	0.8	0.1	1.9	13.8	2010	0
59	Eric Gordon	21	LAC	0.449	2.6	3.0	1.1	0.2	2.3	16.9	2010	0
60	Danny Granger	26	IND	0.428	5.5	2.8	1.5	0.8	2.5	24.1	2010	0
61	Jeff Green	23	OKC	0.453	6.0	1.6	1.3	0.9	1.6	15.1	2010	0
62	Richard Hamilton	31	DET	0.409	2.7	4.4	0.7	0.1	2.5	18.1	2010	0
63	Al Harrington	29	NYK	0.435	5.6	1.5	0.9	0.4	1.8	17.7	2010	0
64	Devin Harris	26	NJN	0.403	3.2	6.6	1.2	0.3	2.8	16.9	2010	0
65	Spencer Hawes	21	SAC	0.468	6.1	2.2	0.4	1.2	1.8	10.0	2010	0
66	Roy Hibbert	23	IND	0.495	5.7	2.0	0.4	1.6	1.8	11.7	2010	0
67	Nenê	27	DEN	0.587	7.6	2.5	1.4	1.0	1.5	13.8	2010	0
68	George Hill	23	SAS	0.478	2.6	2.9	0.9	0.3	1.3	12.4	2010	0
69	Grant Hill*	37	PHO	0.478	5.5	2.4	0.7	0.4	1.3	11.3	2010	0
70	Kirk Hinrich	29	CHI	0.409	3.5	4.5	1.1	0.3	1.5	10.9	2010	0
71	Al Horford	23	ATL	0.551	9.9	2.3	0.7	1.1	1.5	14.2	2010	1
72	Dwight Howard	24	ORL	0.612	13.2	1.8	0.9	2.8	3.3	18.3	2010	1
73	Josh Howard	29	TOT	0.405	3.6	1.4	0.7	0.3	1.3	12.7	2010	0
74	Josh Howard	29	DAL	0.401	3.6	1.4	0.7	0.3	1.4	12.5	2010	0
75	Josh Howard	29	WAS	0.435	3.3	1.0	0.8	0.5	0.8	14.5	2010	0
76	Andre Iguodala	26	PHI	0.443	6.5	5.8	1.7	0.7	2.7	17.1	2010	0
77	Ersan İlyasova	22	MIL	0.443	6.4	1.0	0.7	0.3	0.9	10.4	2010	0
78	Allen Iverson*	34	TOT	0.43	2.8	4.0	0.7	0.1	2.3	13.8	2010	1
79	Allen Iverson*	34	MEM	0.577	1.3	3.7	0.3	0.0	2.3	12.3	2010	1
80	Allen Iverson*	34	PHI	0.417	3.0	4.1	0.7	0.1	2.3	13.9	2010	1
81	Jarrett Jack	26	TOR	0.481	2.7	5.0	0.7	0.1	2.0	11.4	2010	0
82	Stephen Jackson	31	TOT	0.423	5.0	3.7	1.6	0.5	3.2	20.6	2010	0
83	Stephen Jackson	31	GSW	0.421	3.9	4.7	1.6	0.7	2.9	16.6	2010	0
84	Stephen Jackson	31	CHA	0.423	5.1	3.6	1.6	0.5	3.2	21.1	2010	0
85	LeBron James	25	CLE	0.503	7.3	8.6	1.6	1.0	3.4	29.7	2010	1
86	Antawn Jamison	33	TOT	0.461	8.4	1.3	1.1	0.3	1.4	18.7	2010	0
87	Antawn Jamison	33	WAS	0.45	8.8	1.3	1.0	0.2	1.5	20.5	2010	0
88	Antawn Jamison	33	CLE	0.485	7.7	1.3	1.1	0.5	1.2	15.8	2010	0
89	Al Jefferson	25	MIN	0.498	9.3	1.8	0.8	1.3	1.8	17.1	2010	0
